eto_ofr_display_id,eto_ofr_mcat_id,fk_glusr_usr_id,eto_ofr_approv_date_orig
148562656934,188681,47297516,29/07/26 06:48
148560317759,145567,227836741,29/07/26 06:48
148560149167,100802,220929439,29/07/26 06:48
148562594552,156035,272450928,29/07/26 06:48
148560219285,193429,272177979,29/07/26 06:48
148560206485,64802,272207417,29/07/26 06:48
148562399113,443944,214124103,29/07/26 06:48
148562601959,149091,95867268,29/07/26 06:48
148560248575,209270,221071558,29/07/26 06:48
148562512367,42318,268487934,29/07/26 06:48
148562511352,11963,89482202,29/07/26 06:48
148562562775,3402,127341081,29/07/26 06:48
148562653863,177810,194427417,29/07/26 06:48
148562602875,22697,272450958,29/07/26 06:48
148562305775,77790,153847721,29/07/26 06:48
148562564746,208173,110491520,29/07/26 06:49
148560380234,20006,212585543,29/07/26 06:49
148560322963,157631,271834880,29/07/26 06:49
148562631763,178189,272450962,29/07/26 06:49
148560383295,9496,272448599,29/07/26 06:49
148560466175,188971,22107394,29/07/26 06:49
148560384363,113707,136475929,29/07/26 06:49
148560315963,650440,198346299,29/07/26 06:49
148560389785,192466,133359565,29/07/26 06:49
148560475275,150067,5993086,29/07/26 06:49
148560461085,20092,108104757,29/07/26 06:49
148560384295,181579,182107695,29/07/26 06:49
148560321534,181802,139162365,29/07/26 06:49
148560386413,788,124958688,29/07/26 06:49
148560403913,121095,245480175,29/07/26 06:49
148560401067,15292,157434044,29/07/26 06:49
148560467946,41475,226333554,29/07/26 06:49
148560227767,8773,161125110,29/07/26 06:49
148562656367,69707,14785998,29/07/26 06:49
148562653746,8322,263667651,29/07/26 06:49
148560457267,44785,215242749,29/07/26 06:49
148560152995,98581,151046573,29/07/26 06:49
148560380134,149881,113509394,29/07/26 06:49
148560763975,182307,198397285,29/07/26 06:49
148560136267,80701,149939718,29/07/26 06:49
148560320259,190028,158037101,29/07/26 06:49
148560468567,65133,3627229,29/07/26 06:49
148560311352,50124,163601714,29/07/26 06:49
148561416085,74039,161430231,29/07/26 06:49
148560116513,6784,145068598,29/07/26 06:49
148560223263,88144,203454827,29/07/26 06:49
148560334152,53773,132839211,29/07/26 06:49
148560124152,189080,156598763,29/07/26 06:49
148560227613,167982,162752589,29/07/26 06:49
148560319975,33561,193097085,29/07/26 06:49
148562613595,137709,272450976,29/07/26 06:49
148560117334,3360,144672000,29/07/26 06:49
148560129567,96542,217916256,29/07/26 06:49
148560319559,193720,216654436,29/07/26 06:49
148560139675,11200,143732040,29/07/26 06:49
148560356713,180802,148655320,29/07/26 06:49
148560541785,95269,161220328,29/07/26 06:49
148560096746,139996,146190122,29/07/26 06:49
148562650046,43595,59749978,29/07/26 06:49
148560321185,189185,211474707,29/07/26 06:49
148560223595,141597,193607758,29/07/26 06:49
148560391534,113654,156372603,29/07/26 06:49
148560384713,11673,190337013,29/07/26 06:49
148560221267,207077,159072795,29/07/26 06:49
148560225013,446078,197819464,29/07/26 06:49
148560221763,69798,130202230,29/07/26 06:49
148560115252,96158,199849992,29/07/26 06:49
148560239159,181725,146258506,29/07/26 06:49
148560140467,137632,184871640,29/07/26 06:49
148560311175,27258,148670420,29/07/26 06:49
148560391152,194,140937356,29/07/26 06:49
148560307185,30957,191621871,29/07/26 06:49
148560138959,279058,68614806,29/07/26 06:49
148560322085,223869,149137971,29/07/26 06:49
148560318359,168563,192841895,29/07/26 06:49
148560380795,652556,182991272,29/07/26 06:49
148560138875,80329,133241829,29/07/26 06:49
148560246075,8492,137522992,29/07/26 06:49
148560303085,652453,210474680,29/07/26 06:49
148560363113,10360,151887329,29/07/26 06:49
148560314259,188242,214513045,29/07/26 06:49
148560360834,188748,156132632,29/07/26 06:49
148560241159,95438,203358469,29/07/26 06:49
148560253459,70082,116870033,29/07/26 06:49
148560390952,650012,161869679,29/07/26 06:49
148560136413,37001,186055795,29/07/26 06:49
148562069813,650585,150645859,29/07/26 06:49
148560153175,223215,193072031,29/07/26 06:49
148560320667,393,133557129,29/07/26 06:49
148560191975,3945,125364033,29/07/26 06:49
148560327963,136052,116318028,29/07/26 06:49
148560320752,65631,135815689,29/07/26 06:49
148562310963,120988,244754695,29/07/26 06:49
148560326875,23855,132807653,29/07/26 06:49
148562517863,16842,1351841,29/07/26 06:49
148560236975,206193,190732325,29/07/26 06:49
148562425052,113703,272440967,29/07/26 06:49
148560302813,11379,189604543,29/07/26 06:49
148560300667,3493,123930831,29/07/26 06:49
148560230863,80959,126145493,29/07/26 06:49
148560130159,20521,153405225,29/07/26 06:49
148562521913,160219,23370001,29/07/26 06:49
148560145467,99630,131205337,29/07/26 06:49
148560238363,160490,144473598,29/07/26 06:49
148562518552,121166,5541828,29/07/26 06:49
148562514113,185856,272450829,29/07/26 06:49
148560305446,149129,161246935,29/07/26 06:49
148560235746,193855,50745175,29/07/26 06:49
148560146467,188397,127452680,29/07/26 06:49
148560226159,229366,135388372,29/07/26 06:49
148560383385,42195,116947877,29/07/26 06:49
148562515246,108117,239308691,29/07/26 06:49
148562309952,84706,93430434,29/07/26 06:49
148562561213,221399,96607030,29/07/26 06:49
148562655475,3910,35622833,29/07/26 06:49
148560395863,445774,116371317,29/07/26 06:49
148560128834,153813,131605918,29/07/26 06:49
148560394175,225475,132115404,29/07/26 06:49
148560318952,55437,201970549,29/07/26 06:49
148560395746,13051,115889024,29/07/26 06:49
148562661952,184255,92870407,29/07/26 06:49
148562515875,172317,202699852,29/07/26 06:49
148560125367,222526,147955670,29/07/26 06:49
148562657246,119216,7042650,29/07/26 06:49
148562512467,45887,272450833,29/07/26 06:49
148562607546,190770,146476200,29/07/26 06:49
148560300175,39965,138475341,29/07/26 06:49
148562646375,178452,272450990,29/07/26 06:49
148510389252,12376,267038940,29/07/26 06:49
148562667934,52858,253233802,29/07/26 06:49
148491036959,20899,252941948,29/07/26 06:50
148562566659,32311,182237795,29/07/26 06:50
148562668985,656785,83086920,29/07/26 06:50
148562567395,113733,272450918,29/07/26 06:50
148561225246,193354,182726573,29/07/26 06:50
148560392052,24131,123361331,29/07/26 06:50
148560320095,119182,272448565,29/07/26 06:50
148560313413,29193,71016420,29/07/26 06:50
148560777467,100516,111201904,29/07/26 06:50
148560396913,178951,72311664,29/07/26 06:50
148560318885,89720,91934423,29/07/26 06:50
148560326746,144570,45819256,29/07/26 06:50
148562407195,34040,272450727,29/07/26 06:50
148560387834,23810,159143375,29/07/26 06:50
148560326546,85172,42687813,29/07/26 06:50
148560536034,9758,43629611,29/07/26 06:50
148560457695,37372,59247847,29/07/26 06:50
148562522985,167035,272450856,29/07/26 06:50
148560463434,20570,41767707,29/07/26 06:50
148562663146,26294,120994404,29/07/26 06:50
148560236434,65103,67596849,29/07/26 06:50
148560352467,28325,95404021,29/07/26 06:50
148560144463,651531,108417385,29/07/26 06:50
148560227367,221246,110568291,29/07/26 06:50
148560312413,56016,83450241,29/07/26 06:50
148560234967,158687,96067485,29/07/26 06:50
148560246646,84229,91176219,29/07/26 06:50
148562664595,1416,39649843,29/07/26 06:50
148560233513,113759,112115707,29/07/26 06:50
148560246834,88037,74493201,29/07/26 06:50
148560392852,205078,71637864,29/07/26 06:50
148560382995,164063,111166091,29/07/26 06:50
148560141695,32417,98525985,29/07/26 06:50
148560479663,192897,92097508,29/07/26 06:50
148560090359,113964,92572483,29/07/26 06:50
148560315475,2238,108681096,29/07/26 06:50
148560393363,40874,102316872,29/07/26 06:50
148560392385,74733,88962987,29/07/26 06:50
148560244063,77790,92189511,29/07/26 06:50
148560214975,64785,81467123,29/07/26 06:50
148560460246,29953,139579754,29/07/26 06:50
148560382763,13834,103521009,29/07/26 06:50
148560116285,221799,71120038,29/07/26 06:50
148560387246,22092,93852362,29/07/26 06:50
148560134285,408,62114094,29/07/26 06:50
148560462263,113778,8364909,29/07/26 06:50
148560232234,43776,81286633,29/07/26 06:50
148560381095,206105,65949574,29/07/26 06:50
148560462785,279058,271161343,29/07/26 06:50
148560121713,220937,89397456,29/07/26 06:50
148560379075,20462,49705567,29/07/26 06:50
148560126963,167342,111864736,29/07/26 06:50
148560225575,28751,104116200,29/07/26 06:50
148560252559,10442,75220614,29/07/26 06:50
148560121567,144793,77595557,29/07/26 06:50
148560266575,652930,70457541,29/07/26 06:50
148562524259,650012,272450865,29/07/26 06:50
148560245134,10491,100693335,29/07/26 06:50
148560140385,147229,76161931,29/07/26 06:50
148560884895,147714,79671245,29/07/26 06:50
148560319867,68865,107101183,29/07/26 06:50
148560306052,12786,89243229,29/07/26 06:50
148560315185,136242,71357329,29/07/26 06:50
148560223313,9539,100596063,29/07/26 06:50
148560321075,153391,58952441,29/07/26 06:50
148560459195,43201,56003729,29/07/26 06:50
148560241285,44212,72790061,29/07/26 06:50
148560114959,445774,64779907,29/07/26 06:50
148560388359,186694,107431705,29/07/26 06:50
148560317585,205010,72603541,29/07/26 06:50
148560317495,31512,66949770,29/07/26 06:50
148560316795,194839,53500263,29/07/26 06:50
148560125175,44752,70471735,29/07/26 06:50
148560314952,26942,49717170,29/07/26 06:50
148560381967,78116,70798419,29/07/26 06:50
148560151559,149071,71428502,29/07/26 06:50
148560222746,31882,45274906,29/07/26 06:50
148562520995,159208,102857683,29/07/26 06:50
148560117752,144846,65814836,29/07/26 06:50
148560392259,65643,54319217,29/07/26 06:50
148560349075,136080,49517623,29/07/26 06:50
148560387752,4057,56921106,29/07/26 06:50
148560076363,4187,44400510,29/07/26 06:50
148560129334,445774,75616415,29/07/26 06:50
148560133067,25540,59108598,29/07/26 06:50
148560225285,10805,93394570,29/07/26 06:50
148560220295,436,43549407,29/07/26 06:50
148562312913,182284,162119029,29/07/26 06:50
148560240867,87966,53058727,29/07/26 06:50
148560313613,189819,109590754,29/07/26 06:50
148560147263,122487,75054025,29/07/26 06:50
148560384413,181392,62625573,29/07/26 06:50
148562471913,7016,11008902,29/07/26 06:50
148560154285,193097,49496421,29/07/26 06:50
148560208195,90249,75276744,29/07/26 06:50
148562404159,138843,189470738,29/07/26 06:50
148562520346,105908,272450831,29/07/26 06:50
148562525046,36644,184608836,29/07/26 06:50
148562523759,64988,216444652,29/07/26 06:50
148560138413,246708,94491452,29/07/26 06:50
148562524575,445774,20417553,29/07/26 06:50
148560222013,49963,86214264,29/07/26 06:50
148562524875,168873,131303226,29/07/26 06:50
148562664634,17193,272450609,29/07/26 06:50
148562405695,191081,118329487,29/07/26 06:50
148560377952,40351,50067605,29/07/26 06:50
148562406375,188262,242781108,29/07/26 06:50
148562668713,183235,105901700,29/07/26 06:50
148560232767,13405,44476001,29/07/26 06:50
148560325285,35734,42495006,29/07/26 06:50
148562522813,181991,46910740,29/07/26 06:50
148560318463,2621,69945995,29/07/26 06:50
148560378085,188676,49623080,29/07/26 06:50
148560226334,204051,63507314,29/07/26 06:50
148560133395,30669,113629718,29/07/26 06:50
148560248363,342607,45380655,29/07/26 06:50
148562594785,68153,272450929,29/07/26 06:50
148562614767,96517,43739997,29/07/26 06:50
148540784934,85053,269190443,29/07/26 06:50
148562669775,189255,184888864,29/07/26 06:50
148562669046,210807,84875752,29/07/26 06:50
148562654952,152046,272451008,29/07/26 06:51
148562657363,217621,246577582,29/07/26 06:51
148562668434,442756,246329174,29/07/26 06:51
148562668367,9499,17239709,29/07/26 06:51
148562704834,114243,105485673,29/07/26 06:51
148562410575,156260,272450734,29/07/26 06:51
148562656063,166555,157350406,29/07/26 06:51
148562704763,136511,225987284,29/07/26 06:51
148562704913,403,272450884,29/07/26 06:51
148562407475,43770,5910613,29/07/26 06:51
148560386752,85790,160400492,29/07/26 06:51
148560316446,191665,114926642,29/07/26 06:51
148560632367,43171,28119293,29/07/26 06:51
148560386263,28079,40840575,29/07/26 06:51
148560378313,132790,11661816,29/07/26 06:51
148560314663,653910,55399780,29/07/26 06:51
148560022546,49881,272448329,29/07/26 06:51
148562425575,187804,257430923,29/07/26 06:51
148560457395,107869,214264177,29/07/26 06:51
148562408152,45834,83398193,29/07/26 06:51
148560315352,184055,254370631,29/07/26 06:51
148562667846,182617,90127795,29/07/26 06:51
148562315852,151233,149319961,29/07/26 06:51
148560474459,42436,34693376,29/07/26 06:51
148560394746,38151,15246271,29/07/26 06:51
148562409513,188371,69499655,29/07/26 06:51
148527418663,558,50293777,29/07/26 06:51
148560697552,106967,41115335,29/07/26 06:51
148562434995,112896,257140733,29/07/26 06:51
148560444146,659497,272448647,29/07/26 06:51
148560385752,179713,28063732,29/07/26 06:51
148560319095,95209,39522083,29/07/26 06:51
148560223159,4982,19070261,29/07/26 06:51
148560230595,165824,22048191,29/07/26 06:51
148560384595,235446,13934981,29/07/26 06:51
