glcat_mcat_id,glcat_mcat_name,glcat_mcat_is_quantity_enabled,glcat_mcat_is_product
170316,Dairy Farming Consultancy,,S
170331,Data Porting Services,,S
170510,Foreign Exchange Assistance,0,S
170992,Payment Collection Services,0,S
171119,Transit Escort Services,0,S
171237,Absence Management Service,,S
171320,Banking Software Service,0,S
171887,IT Offshore Service,,S
172033,Strategic Resources Service,,S
172671,Sliding Gate Fabrication,,S
172722,Steel Windows Fabrication,,S
173056,Backstage Management,0,S
173076,Hair Styles Services,,S
173086,Aluminum Door Repair,,S
173375,Write Up Services,,S
173941,Cut Work Embroidery,0,S
173980,CO2 Laser Cutting Service,,S
174195,Article Directory Submission Services,,S
174508,Field Marketing Services,0,S
56269,Insulated Furnace,2,P
69690,Wood Planer,2,P
74257,Magnetic Yoke,2,P
78379,Chemical Liquid Tanker,2,P
80159,Computer Printing Label,,S
88520,Paying Guest Accommodations,0,S
102053,Embossed Printing,0,S
105093,Crawler Vehicle,2,P
188785,Turbine Blade Inspection,,S
189115,Boat Davit,2,P
190728,Diesel Bowser,2,P
191336,Software & Programming Services,0,S
111425,Interactive Advertising,0,S
111430,NHM Subsidy Consultation,0,S
119306,Vacuum Controller,2,P
123844,Bioreactor,2,P
129780,Transit Insurance Services,0,S
135674,Package Steam Boiler,2,P
140804,Surface Finishing Machine,2,P
142281,Snack Food Fryer,2,P
144970,Plastic Printing Machine,2,P
145586,Metal Packaging Services,,S
146142,Harmonic Solutions,,S
146396,Polyester Cord Lashing Services,,S
146436,Customized Washing Machine,2,P
220559,Plywood Dipping Machine,2,P
223008,Electric Rickshaw Rental,,S
1129,Analytical Balances,2,P
17569,Sound Equalizer,2,P
22545,Battery Booster,2,P
24565,Carburizing Furnace,2,P
150504,Machine Cladding,2,P
151251,Twin Lobe Roots Blower,2,P
151398,Fire Extinguisher Maintenance Services,0,S
151927,Bag Cleaning Machine,2,P
152552,Handheld XRF Metal Analyzer,2,P
159064,Rice Pulverizer,2,P
161201,Differential GPS,2,P
165827,Modular Portable Cabin,2,P
167961,Balloon Decoration Services,,S
168039,Engineering Survey Services,,S
168781,Bridge Design Services,0,S
168840,Dental Implant Surgery,0,S
168954,Material Engineering Services,0,S
168989,Post Harvest Management,,S
169477,Network Administration Services,,S
169668,Statutory Compliance Training Services,,S
169868,Advertising Consultancy Services,0,S
169882,Alternator Rewinding Services,,S
170178,Account Profiling Services,,S
170550,Green Buildings Consultancy,,S
170625,Pharma Ethical Marketing Service,0,S
170856,Software QA Consulting Service,,S
170909,Strategic Research Services,,S
170928,Substation Testing Services,0,S
171035,Invoice Printing Service,0,S
171277,Anti Fungal Treatment Service,,S
171339,Brass Cutting Services,,S
171868,IP Security Camera Installation,,S
172280,Medical Test Services,0,S
172384,Payment Processing Service,0,S
172995,Advertising Copywriting Services,,S
237407,Street Light Job Work,,S
238599,Epoxy Water Tank Coating Service,,S
239041,Machine Swing Fabrication Work,,S
242468,Contour Plan Generation Software Development Service,,S
244612,Customize Mlm Software Solution Service,,S
245098,Spot Welding Job Work,,S
250646,3D Cad Designing Service Map,,S
577,Sintering Furnaces,2,P
2335,Machine Shop Services,,S
5095,Pneumatic Machines,2,P
7489,Oil Milling Plant,2,P
10228,Interlocking Blocks Machine,2,P
11133,Gravity Separator,2,P
12385,Flat Panel Display,2,P
21602,Adult Education,0,S
22217,Automatic Weighing Systems,2,P
23129,Calibration Laboratories,0,S
23760,Bottle Packaging Machines,2,P
149968,Steel Pipe Buffing Machine,2,P
151301,Wrist Watch Repairing Service,,S
152977,Stainless Steel Elevator Cabin,2,P
154137,Payroll Compliance Services,0,S
154540,Throttling Calorimeter,2,P
161326,Vacuum Dewatering System,2,P
161835,Gel Timer,2,P
164121,Filter Coffee Maker,2,P
168014,Shopping Bag Printing,0,S
168505,Scanner Repair Services,0,S
168597,Sleep Disorder Treatment,0,S
169551,Pressure Switch Calibration Services,0,S
170122,Content Marketing Service,0,S
170275,Forex Assistance Services,,S
170278,Gas Distribution Services,0,S
170484,Financial Services Research,,S
170724,Reflective Glass Work,,S
170807,Security Shredding Service,0,S
170875,SS Tank Fabrication Service,,S
171017,Fire Insurance,0,S
171201,Workforce Management Services,0,S
237398,Electrical Instrumentation Contract Work,,S
238718,Turbojet Engine Model,,S
239045,Steel Almirah Main Iron Door Service,,S
118770,Water Tanker Machine,2,P
119322,Bottle Crimping Machine,2,P
128937,Rope Winches,2,P
132850,Bead Blasting Machine,2,P
133103,Foam Board Printing,0,S
133132,Hypertherm Plasma Cutter,2,P
56226,Milling Job Work,,S
74380,Blanking Line,2,P
86278,Trucking Service,,S
88514,Land Use Conversion Service,0,S
100524,Residential Electrical Works,,S
102057,Image Processing Services,0,S
102063,Builder Floor,0,S
186968,CMA Coaching,0,S
187678,Triple Screw Pumps,2,P
20958,Dough Sheeter,2,P
25441,Commodity Brokers,0,S
28123,Explosives Detectors,2,P
35121,Plastic Injection Moulding Machine,2,P
35773,Product Promotion,0,S
37534,Screw Capping Machine,2,P
41008,Welding Training,0,S
42859,Friability Apparatus,2,P
43128,Pollution Control Services,,S
170478,Field Research Services,,S
171003,PF Registration Service,0,S
171613,Medical Evacuation Services,0,S
171772,Fire Extinguisher Servicing,0,S
172054,Watch Repairing Service,,S
172335,Network Data Security,0,S
172381,Pattern Making Services,0,S
172448,Pricing Analytics Services,0,S
172623,Secure Business Intelligence,,S
172637,Server Data Recovery,,S
173075,Biotechnology Courses,0,S
173353,Project Due Diligence,,S
173544,Extended Care Facilities,,S
173556,Chip Level Training,,S
174190,Private Equity Advisory Service,0,S
174426,Night Patrolling Security Services,0,S
174825,Periodontal Plastic Surgeries,,S
175108,Supply Chain Planning Solution,0,S
175207,Travel Agencies Software Service,0,S
175220,Carbon Finance Consulting Services,,S
175529,Strategic Internet Marketing Service,,S
175571,Automobiles Body Painting Services,,S
175653,EOT Crane AMC,,S
175867,Steel Roofing Fabrication Works,,S
175873,Ulcerative Colitis Surgery,,S
175892,Welding Machine Rental,0,S
175897,LT Underground Cable Work,,S
176115,Solar System Design Services,,S
176175,Credit Linked Capital Subsidy Services,0,S
176178,Door To Door Marketing,0,S
176227,Acoustical Testing,,S
176273,Cable Jointing,,S
176334,EMS Consultancy,0,S
176391,Hospital Planning,0,S
176459,Salsa Dance,0,S
176745,Meshing Services,,S
176756,Mobile Calibration,,S
176846,Hydro-Blasting Service,,S
176870,Scar Treatment,0,S
